TestID#,KitID,InputGp,Input[C],OutputRt,Exp. Result,ChRt-1,VolDiff-1,StepWidth-1,AvgRate-1,Threshold-1,ChRt-2,VolDiff-2,StepWidth-2,AvgRate-2,Threshold-2,ChRt-3,VolDiff-3,StepWidth-3,AvgRate-3,Threshold-3,ChRt-4,VolDiff-4,StepWidth-4,AvgRate-4,Threshold-4,ChRt-5,VolDiff-5,StepWidth-5,AvgRate-5,Threshold-5
2021-11-29_NABITA004.23_2,INSC20124,Negative,0,Negative,Yes,True,102.7,62.0,1.7,40,False,8.1,0.0,0.0,40,False,10.9,0.0,0.0,40,False,16.1,0.0,0.0,60,False,18.0,0.0,0.0,60
2021-12-01_NABITA002.39_1,INSC20101,Positive,1.49,Negative,No,True,133.5,84.0,1.6,40,False,20.4,0.0,0.0,40,False,11.1,0.0,0.0,40,False,33.7,0.0,0.0,60,False,18.4,0.0,0.0,60
2021-12-01_NABITA002.39_2,INSC20104,Positive,2.99,Negative,No,True,122.7,88.0,1.4,40,False,10.8,0.0,0.0,40,False,17.5,0.0,0.0,40,False,42.4,0.0,0.0,60,False,23.4,0.0,0.0,60
2021-12-01_NABITA002.39_3,INSC20108,Positive,5.98,Positive,Yes,True,126.6,76.0,1.7,40,True,76.5,51.0,1.5,40,False,11.2,0.0,0.0,40,False,23.1,0.0,0.0,60,False,24.4,0.0,0.0,60
2021-12-01_NABITA002.39_4,INSC20111,Positive,11.95,Positive,Yes,True,149.0,71.0,2.1,40,True,102.8,63.0,1.6,40,False,11.1,0.0,0.0,40,False,32.7,0.0,0.0,60,False,18.8,0.0,0.0,60
2021-12-01_NABITA002.39_5,INSC20114,Positive,23.9,Positive,Yes,True,125.0,90.0,1.4,40,True,69.4,81.0,0.9,40,False,27.9,0.0,0.0,40,True,136.8,101.0,1.4,60,False,12.4,0.0,0.0,60
2021-12-01_NABITA002.39_6,INSC20117,Positive,47.8,Negative,No,True,156.7,137.0,1.1,40,False,12.0,0.0,0.0,40,False,29.6,0.0,0.0,40,False,18.1,0.0,0.0,60,False,22.9,0.0,0.0,60
2021-12-01_NABITA002.39_7,INSC20120,Positive,95.6,Positive,Yes,True,162.0,108.0,1.5,40,True,141.3,120.0,1.2,40,False,32.9,0.0,0.0,40,False,27.2,0.0,0.0,60,False,16.2,0.0,0.0,60
2021-12-01_NABITA002.39_8,INSC20127,Negative,0,Negative,Yes,True,132.4,72.0,1.8,40,False,18.4,0.0,0.0,40,False,11.5,0.0,0.0,40,False,22.4,0.0,0.0,60,False,15.2,0.0,0.0,60
2021-12-01_NABITA002.39_9,INSC20128,Positive,47.8,Negative,Yes,True,140.1,77.0,1.8,40,False,14.7,0.0,0.0,40,False,11.9,0.0,0.0,40,False,15.2,0.0,0.0,60,False,15.4,0.0,0.0,60
